name,warranty,shipping,ships_in,country_of_origin,sin,part_no,gsa_schedule 
BSXCV320 - Tektronix Converts BSA C series BERTScope instruments to a current BSX320,0 Stnd,FOB Destination,20 Weeks,,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
"70794805 - Tektronix Manual,Tech; Instrument,B070000 & Up;1730 Waveform Monitor",0 Stnd,FOB Destination,4 Weeks,United States,627-2,,GS-24F-0066M Exp. 10 Sep. 2022
"70794801 - Tektronix MANUAL,TECH; INSTRUMENT;1730 WAVEFORM MONITOR,B050000-B059999;",0 Stnd,FOB Destination,9 Weeks,United States,627-2,,GS-24F-0066M Exp. 10 Sep. 2022
BSXCV125 - Tektronix Converts BSA C series BERTScope instruments to a current BSX125,0 Stnd,FOB Destination,20 Weeks,,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
732A - B&K Precision Digital Sound Level Meter with RS 232 Capability,1 Year,FOB Destination,8 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
063088500 - Tektronix TECHNICAL SHEET; SIDE BY SIDE INSTRUMENT RACK ADAPTER INSTRUCTIONS;TVGF13;,0 Stnd,FOB Destination,13 Weeks,United States,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
"9337-1P - Guildline Instruments Limited 1 POhm Standard Resistor, Air Based, N Connector",2 Years,FOB Destination,150 Days,Canada,602-6,,GS-24F-0066M Exp. 10 Sep. 2022
"9337-10T - Guildline Instruments Limited 10 TOhm Standard Resistor, Air Based, N Connector",2 Years,FOB Destination,150 Days,Canada,602-6,,GS-24F-0066M Exp. 10 Sep. 2022
T42-250 - Instruments For Industry 2.0-4.0GHz; Solid State & TWT,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
"9337-100T - Guildline Instruments Limited 100 TOhm Standard Resistor, Air Based, N Connector",2 Years,FOB Destination,150 Days,Canada,602-6,,GS-24F-0066M Exp. 10 Sep. 2022
SVC100 - Instruments For Industry 100MHz-500MHz; Solid State,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
SMX50 - Instruments For Industry 10KHz- 1.0GHz; Solid State,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
BSXCV240 - Tektronix Converts BSA C series BERTScope instruments to a current BSX240,0 Stnd,FOB Destination,20 Weeks,,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
T7525-1000 - Instruments For Industry 2.5-7.5GHz; Solid State & TWT,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
SMV1000 - Instruments For Industry 500MHz-1000MHz; Solid State,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
"SMP2012 - VTI Instruments 10 SPST, 30A Relays",1 Year,FOB Destination,8 Weeks,United States,627-33,70-0273-000,GS-24F-0066M Exp. 10 Sep. 2022
SMIV2000 - Instruments For Industry 400MHz-1.0GHz; Solid State,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
SMCC350 - Instruments For Industry 200MHz-1000MHz; Solid State,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
SDL350 - Extech Instruments Corp. HOT WIRE THERMO-ANEMOMETER SD LOGGER,3 Years,FOB Destination,6 Weeks,Taiwan,627-23,793950433515,GS-24F-0066M Exp. 10 Sep. 2022
T84-250 - Instruments For Industry 4.0-8.0GHz; Solid State & TWT,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
SMIV500 - Instruments For Industry 400MHz-1.0GHz; Solid State,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
SDL200 - Extech Instruments Corp. 4-CHANNEL THERMOMETER SD LOGGER,3 Years,FOB Destination,6 Weeks,Taiwan,627-23,793950432105,GS-24F-0066M Exp. 10 Sep. 2022
SDL300 - Extech Instruments Corp. METAL VANE THERMO-ANEMOMETER SD LOGGER,3 Years,FOB Destination,6 Weeks,Taiwan,627-23,793950433010,GS-24F-0066M Exp. 10 Sep. 2022
SCCXL500 - Instruments For Industry 10KHz-100MHz; Solid State,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
SMC100 - Instruments For Industry 80MHz-1.0GHz; Solid State,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
SMC50 - Instruments For Industry 80MHz-1.0GHz; Solid State,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
SMCC500 - Instruments For Industry 200MHz-1000MHz; Solid State,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
781349-01 - National Instruments Corporation NI TB-4353 Isothermal Terminal Block for PXIe-4353,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
SCCXL250 - Instruments For Industry 10KHz-100MHz; Solid State,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
SMCC2000 - Instruments For Industry 200MHz-1000MHz; Solid State,1 Year,FOB Destination,8 Weeks,United States,602-3,,GS-24F-0066M Exp. 10 Sep. 2022
781809-3510 - National Instruments Corporation NI Wireless Test Software Suite - Bundle of 10 for Deployment / Development,0 Stnd,FOB Destination,10 Days,Ireland,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
"781823-01 - National Instruments Corporation NI 9930P, Motion Control Acc, NI 9512 to Panasonic Servo Drives",0 Stnd,FOB Destination,30 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
152598-0R7 - National Instruments Corporation NI 5644 Low Profile DIO Cable,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"154542-03 - National Instruments Corporation Cable, 1394b jackscrew to 1394b right angle down jackscrew, 3m",0 Stnd,FOB Destination,15 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
781809-3503 - National Instruments Corporation NI Wireless Test Software Suite - Bundle of 3 for Deployment / Development,0 Stnd,FOB Destination,10 Days,Ireland,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
"781859-01 - National Instruments Corporation NI 1778 Smart Camera (1.6GHz Atom Processor, 5MP, Monochrome)",0 Stnd,FOB Destination,20 Days,Canada,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"781820-04 - National Instruments Corporation NI PXIe-8374, x4, MXI-Express Daisy-Chain Copper Interface",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"779743-01 - National Instruments Corporation PXI-8432/2, 2000V Isolated RS232, 2 Port Serial Interface",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
153130-05 - National Instruments Corporation M12 to RJ45 cable (5m),0 Stnd,FOB Destination,20 Days,Poland,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"781451-10 - National Instruments Corporation Relay Replacement Kit for 9117-0001,3W Reed (QTY: 10)",0 Stnd,FOB Destination,30 Days,Mexico,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
782528-01 - National Instruments Corporation NI 9755 NOx 12V Sensor Module Kit for cRIO 1-CH,0 Stnd,FOB Destination,30 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"781853-01 - National Instruments Corporation NI 1772 Smart Camera (1.6GHz Atom Processor, VGA, Monochrome)",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"777687-10 - National Instruments Corporation SCXI-1310 96-Pin Connector and Shell for the SCXI-1100, the SCXI-1140, and the SCXI-1181.",0 Stnd,FOB Destination,20 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"763422-01 - National Instruments Corporation SMB 111 coaxial cable, SMB plug to BNC plug, 75 ohm, 1 m",0 Stnd,FOB Destination,15 Days,United States,627-15,,GS-24F-0066M Exp. 10 Sep. 2022
"782536-01 - National Instruments Corporation SCB-68A Noise Rejecting, Shielded I/O Connector Block",0 Stnd,FOB Destination,5 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
SAT - Hamilton Robotics Company Site Acceptance Testing (per day),1 Year,FOB Origin,6 Weeks,United States,615-5000,,GS-24F-0066M Exp. 10 Sep. 2022
777687-17 - National Instruments Corporation NI SCXI-1317 Front Mounting Terminal Block for 1/4-Bridge Strain Input,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
2500INT-2-GE - Keithley Instruments Inc. 2IN INT SPHERE GERMANIUM,0 Stnd,FOB Destination,,United States,602-17,,GS-24F-0066M Exp. 10 Sep. 2022
73412 - Guildline Instruments Limited 73412 Adapter LC Male to LC Male (Fits 7340 and 7350 Models),2 Years,FOB Destination,150 Days,Canada,602-6,,GS-24F-0066M Exp. 10 Sep. 2022
"0.0229 - Keithley Instruments Inc. 5KV POWER SUPPLY, 240VAC NOMINAL INPUT VOLTAGE",0 Stnd,FOB Destination,3 Weeks,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
S46T2 - Keithley Instruments Inc. APPLICATIONS INTEGRATED SYSTEM,0 Stnd,FOB Destination,8 Weeks,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"781762-01 - National Instruments Corporation NI PCIe-8388, x16 Gen2 MXI-Express for PXI Express Interface",0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
7530 - Keithley Instruments Inc. 8X12 LOW CUR HIGH SPD KELVIN MATRIX,0 Stnd,FOB Destination,1 Week,,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
VT1513A - VTI Instruments Attenuator Input SCP,1 Year,FOB Destination,8 Weeks,United States,627-33,73-0040-000,GS-24F-0066M Exp. 10 Sep. 2022
"12501 - TEGAM Inc. Alligator Clip Adapters for 110A, 120, 122 & 125",0 Stnd,FOB Destination,6 Weeks,United States,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
"9337-10P - Guildline Instruments Limited 10 POhm Standard Resistor, Air Based, N Connector",2 Years,FOB Destination,150 Days,Canada,602-6,,GS-24F-0066M Exp. 10 Sep. 2022
475040-NIST - Extech Instruments Corp. FORCE GAUGE W/NIST 475040,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
TL705 - Keithley Instruments Inc. 2X4 Wire Ohm Precision Test Leads,0 Stnd,FOB Destination,4 Weeks,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"340341 - Q-Matic Corporation D924A Matrix Display (Red, Green, Amber)",6 Months,FOB Destination,8 Weeks,United States,132-8,,GS-35F-0311R Exp. 02 Feb. 2020
780953-01 - National Instruments Corporation NI 9907 Horizontal Panel Mounting Kit for 14-slot MXI-Express RIO Chassis,0 Stnd,FOB Destination,20 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
TL725 - Keithley Instruments Inc. 2X4 Wire Ohm Tweezer Test Leads,0 Stnd,FOB Destination,4 Weeks,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"7000B840 - Bird Electronic Corporation Software, PC Interface",1 Year,FOB Destination,6 Weeks,United States,602-1,,GS-24F-0066M Exp. 10 Sep. 2022
"7002A224-1 - Bird Electronic Corporation Case, Transit",1 Year,FOB Destination,6 Weeks,United States,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
"9336-1G - Guildline Instruments Limited 1 GOhm Standard Resistor, Air Based, N Connector",2 Years,FOB Destination,150 Days,Canada,602-6,,GS-24F-0066M Exp. 10 Sep. 2022
920-MANUALS - Bird Electronic Corporation Mass Storage media containing all CommercialManuals,1 Year,FOB Destination,6 Weeks,United States,602-1,,GS-24F-0066M Exp. 10 Sep. 2022
2136.10 - AEMC Instruments PowerPad® III Model 8333 (No Probes) Replacement for Model 3945-B Series,0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
2153.77 - AEMC Instruments Replacement Screw Terminal Block (6-pin) for Model L452,0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
2135.87 - AEMC Instruments GroundFlex® Sensor 10M for use only with Model 6474,0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
2137.82 - AEMC Instruments Pole Mounting Kit for Model PEL 105 & PowerPad® Model 8435,0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
412355A-NIST - Extech Instruments Corp. CALIBRATOR W/ NIST 412355A,1 Year,FOB Destination,6 Weeks,Taiwan,602-32,,GS-24F-0066M Exp. 10 Sep. 2022
"K475 - Tektronix CART, WORKSTATION / INSTRUMENT TOWER, 56 HIGH",,FOB Destination,2 Weeks,United States,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
"340441 - Q-Matic Corporation D948A Matrix Display (Red, Green, Amber)",6 Months,FOB Destination,8 Weeks,United States,132-8,,GS-35F-0311R Exp. 02 Feb. 2020
"153117 - Extech Instruments Corp. AC ADAPTOR, 117VAC",6 Months,FOB Destination,6 Weeks,Taiwan,627-14,793950151174,GS-24F-0066M Exp. 10 Sep. 2022
"382075 - Extech Instruments Corp. CLAMP METER, POWER 3-PHASE ANALYZER",1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950380758,GS-24F-0066M Exp. 10 Sep. 2022
10115015R5 - Q-Matic Corporation Orchestra Enterprise Digital Signage       ,0 Stnd,FOB Destination,8 Weeks,Sweden,132-51,,GS-35F-0311R Exp. 02 Feb. 2020
407510 - Extech Instruments Corp. HEAVY DUTY DISSOLVED OXYGEN MTR KIT W/13' CBL,3 Years,FOB Destination,6 Weeks,Taiwan,627-5,793950405109,GS-24F-0066M Exp. 10 Sep. 2022
480826 - Extech Instruments Corp. EMF TESTER/TRIPLE AXIS,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950488263,GS-24F-0066M Exp. 10 Sep. 2022
380803 - Extech Instruments Corp. POWER ANALYZER DATALOGGER,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950308035,GS-24F-0066M Exp. 10 Sep. 2022
"2137.62 - AEMC Instruments Power & Energy Logger Model PEL 103 (W/LCD, No Sensors)",0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
2130.81 - AEMC Instruments PowerPad® Jr. Model 8230 (No Probe),1 Year,FOB Destination,8 Weeks,France,627-8,8230,GS-24F-0066M Exp. 10 Sep. 2022
"407860-NIST - Extech Instruments Corp. VIBRATION METER WITH NIST, 407860",1 Year,FOB Destination,6 Weeks,Taiwan,602-32,,GS-24F-0066M Exp. 10 Sep. 2022
"407123 - Extech Instruments Corp. ANEMOMETER, HOT WIRE HEAVY DUTY W/ HOLSTER",3 Years,FOB Destination,6 Weeks,Taiwan,627-5,793950401231,GS-24F-0066M Exp. 10 Sep. 2022
RPM10-NIST - Extech Instruments Corp. TACHOMETER/IR W/NIST RPM10,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
407860 - Extech Instruments Corp. VIBRATION MTR/HD W/DISPLACEMENT FUNCTION,1 Year,FOB Destination,6 Weeks,Taiwan,602-32,793950408605,GS-24F-0066M Exp. 10 Sep. 2022
"480823 - Extech Instruments Corp. EMF/ELF METER, W/TESLA",1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950488232,GS-24F-0066M Exp. 10 Sep. 2022
"2130.44 - AEMC Instruments Ground Resistance Tester Model 4630 (Digital, 4-Point)",1 Year,FOB Destination,8 Weeks,France,627-29,4630,GS-24F-0066M Exp. 10 Sep. 2022
"PH220-C - Extech Instruments Corp. PH METER, PALM PH WITH CABLED ELECTRODE",1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950052204,GS-24F-0066M Exp. 10 Sep. 2022
DO600 - Extech Instruments Corp. EXSTIK II DISSOLVED OXYGEN METER,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950056004,GS-24F-0066M Exp. 10 Sep. 2022
"380363 - Extech Instruments Corp. INSULATION TESTER, DIG. HIGH VOLTAGE",1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950383636,GS-24F-0066M Exp. 10 Sep. 2022
RPM10-NISTL - Extech Instruments Corp. RPM10 W/LIMITED NIST - NO IR FUNCTION,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
480836 - Extech Instruments Corp. RF/EMF STRENGTH METER,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950488362,GS-24F-0066M Exp. 10 Sep. 2022
"PH220-S - Extech Instruments Corp. PH METER, PALM PH W/STICK ELECTRODE",1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950052211,GS-24F-0066M Exp. 10 Sep. 2022
"2114.92 - AEMC Instruments Ground Resistance Tester Model 3640 (Digital, 3-Point)",1 Year,FOB Destination,8 Weeks,France,627-29,3640,GS-24F-0066M Exp. 10 Sep. 2022
380926-NIST - Extech Instruments Corp. CLAMP METER WITH NIST 380926,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
382099 - Extech Instruments Corp. VOLTAGE TEST LEADS WITH ALLIGATOR CLIPS,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950382998,GS-24F-0066M Exp. 10 Sep. 2022
380941-NIST - Extech Instruments Corp. MINI CLAMP METER W/NIST 380941,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
"2130.43 - AEMC Instruments Ground Resistance Tester Model 4620 (Digital, 4-Point)",1 Year,FOB Destination,8 Weeks,France,627-29,4620,GS-24F-0066M Exp. 10 Sep. 2022
382075-NIST - Extech Instruments Corp. POWER CLAMP METER W/NIST 382075,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
382000 - Extech Instruments Corp. VOLTAGE TEST LEADS W/ALLIGATOR CLIPS,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950820001,GS-24F-0066M Exp. 10 Sep. 2022
2100-100 - Keithley Instruments Inc. 6 1/2 DIGIT DMM SET TO 100V,0 Stnd,FOB Destination,2 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
"380940-NIST - Extech Instruments Corp. CLAMP METER WITH NIST, 380940",1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
"380926 - Extech Instruments Corp. MULTIMETER, CLAMP-ON TRMS",1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950389263,GS-24F-0066M Exp. 10 Sep. 2022
"380947-NIST - Extech Instruments Corp. CLAMP METER WITH NIST, 380947",1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
"380360 - Extech Instruments Corp. INSULATION TESTER, MEGOHMMETER",1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950383605,GS-24F-0066M Exp. 10 Sep. 2022
2100-220 - Keithley Instruments Inc. 6 1/2 DIGIT DMM SET TO 220V,0 Stnd,FOB Destination,2 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
380942-NIST - Extech Instruments Corp. CLAMP METER/DMM W/NIST 380942,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
ET25-10PK - Extech Instruments Corp. VOLTAGE TESTER (NEON) - 10 PACK,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
382280 - Extech Instruments Corp. DIGITAL DC POWER SUPPLY PRECISION 200 WATT,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
1971.01 - AEMC Instruments Artificial Neutral Model AN1,1 Year,FOB Destination,8 Weeks,France,627-8,AN1,GS-24F-0066M Exp. 10 Sep. 2022
"7711-BNC-SMA - Keithley Instruments Inc. MALE SMA TO FEMALE BNC, 6 IN. (5 EACH)",0 Stnd,FOB Destination,3 Weeks,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
380803-NIST - Extech Instruments Corp. POWER ANALYZER W/NIST 380803,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
380340 - Extech Instruments Corp. DATALOGGER MODULE W/ PC SOFTWARE,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950383407,GS-24F-0066M Exp. 10 Sep. 2022
"7712-SMA-1 - Keithley Instruments Inc. SMA MALE TO SMA MALE COAXIAL CABLE, 1M",0 Stnd,FOB Destination,10 Weeks,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
382357-NIST - Extech Instruments Corp. RESISTANCE TESTER W/NIST 382357,1 Year,FOB Destination,6 Weeks,Taiwan,627-23,,GS-24F-0066M Exp. 10 Sep. 2022
"382357 - Extech Instruments Corp. RESISTANCE TESTER CLAMP-ON, GROUND",1 Year,FOB Destination,6 Weeks,Taiwan,627-23,793950383575,GS-24F-0066M Exp. 10 Sep. 2022
7712-SMA-N - Keithley Instruments Inc. SMA FEMALE TO N TYPE MALE ADAPTER,0 Stnd,FOB Destination,2 Weeks,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"7711 - Keithley Instruments Inc. 2GHZ, DUAL 1X4, 50 OHM MULTIPLEXER CARD",0 Stnd,FOB Destination,3 Weeks,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"7712 - Keithley Instruments Inc. 3.5GHZ, DUAL 1X4, 50 OHM MULTIPLEXER CAR",0 Stnd,FOB Destination,3 Weeks,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
CR286A - Tektronix 28.6 Gb/s Clock Recovery Instrument,0 Stnd,FOB Destination,8 Weeks,United States,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
CR175A - Tektronix 17.5 Gb/s Clock Recovery Instrument,0 Stnd,FOB Destination,8 Weeks,United States,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
"433201 - Extech Instruments Corp. CALIBRATOR, MICRO CAL THERMOMETER KIT, 115V",1 Year,FOB Destination,6 Weeks,Taiwan,602-32,793950432013,GS-24F-0066M Exp. 10 Sep. 2022
2136.41 - AEMC Instruments PowerPad® Model 8435 (No Sensors - Waterproof IP67),0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
"2136.78 - AEMC Instruments Battery - Replacement, Set of 2, 12V NiMH Rechargeable for DTR® Model 8510",0 Stnd,FOB Destination,45 Days,Japan,627-29,,GS-24F-0066M Exp. 10 Sep. 2022
"5000.82 - AEMC Instruments 3-Prong Mini Flat Pin Connector for Thermocouple, RTD",0 Stnd,FOB Destination,45 Days,United States,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
5000.38 - AEMC Instruments Lead - Replacement BNC Pigtail w/Alligator Clips for Models CA7024 & CA7026,0 Stnd,FOB Destination,45 Days,Great Britain (UK),627-8,,GS-24F-0066M Exp. 10 Sep. 2022
CR125A - Tektronix 12.5 Gb/s Clock Recovery Instrument,0 Stnd,FOB Destination,8 Weeks,United States,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
7173-50-CSEP - Keithley Instruments Inc. SET OF 4 ROW/COLUMN EXP CABLES,0 Stnd,FOB Destination,2 Weeks,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
S46T-SPDT-KIT - Keithley Instruments Inc. SPDT 18GHZ RELAY,0 Stnd,FOB Destination,12 Weeks,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"5000.23 - AEMC Instruments Reflective Adhesive Tape for Models CA25, CA27, CA1725 & CA1727",0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
"2131.35 - AEMC Instruments Lead - Replacement, 6 ft Safety Lead, 4mm Female to Female for Decade Boxes",0 Stnd,FOB Destination,45 Days,France,627-29,,GS-24F-0066M Exp. 10 Sep. 2022
Bridgeworks-AF - Guildline Instruments Limited 6625AF Bridgeworks Software Package (Must be purchased with Bridge),2 Years,FOB Destination,150 Days,Canada,602-6,,GS-24F-0066M Exp. 10 Sep. 2022
2139.73 - AEMC Instruments Case - Replacement Carrying Case for Clamp-on Meter Models 407 & 607,0 Stnd,FOB Destination,45 Days,United States,627-29,,GS-24F-0066M Exp. 10 Sep. 2022
"2137.61 - AEMC Instruments Power & Energy Logger Model PEL 102 (No LCD, No Sensors)",0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
2135.73 - AEMC Instruments Replacement - 5m GroundFlex® Sensor only for use with GroundFlex® Model 6474,0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
407001 - Extech Instruments Corp. SOFTWARE & CABLE FOR HEAVY DUTY SERIES,1 Year,FOB Destination,6 Weeks,Taiwan,627-14,793950470015,GS-24F-0066M Exp. 10 Sep. 2022
5000.63 - AEMC Instruments Power Cord 110V for use only with Model 8435,0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
2130.90 - AEMC Instruments Power Quality Meter Model 8220 (No Probe),1 Year,FOB Destination,8 Weeks,France,627-8,8220,GS-24F-0066M Exp. 10 Sep. 2022
2150.51 - AEMC Instruments Probe - 1: 1/1: 10 200MHz 300V for MTX PC Scopes,0 Stnd,FOB Destination,45 Days,France,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
2150.52 - AEMC Instruments Cable - Replacement RJ45 Straight Cable for MTX PC Scopes,0 Stnd,FOB Destination,45 Days,France,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
2150.50 - AEMC Instruments Probe - 1: 1/1: 10 100MHz 300V for MTX PC Scopes,0 Stnd,FOB Destination,45 Days,France,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
"2141.50 - AEMC Instruments Case - Replacement, ABS w/slot for Meter, Models 3710-3731, 6416, & 6417",0 Stnd,FOB Destination,45 Days,United States,627-29,,GS-24F-0066M Exp. 10 Sep. 2022
2138.66 - AEMC Instruments Cable - Replacement 6 ft. USB cable for Models 1510 & L452,0 Stnd,FOB Destination,45 Days,United States,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
S46T-XFER-KIT - Keithley Instruments Inc. XFER 18GHZ RELAY,0 Stnd,FOB Destination,12 Weeks,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
2140.72 - AEMC Instruments Case - Replacement Accessory Pouch for Model 8435 (accessories not included),0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
2138.61 - AEMC Instruments Wall Mount Holster for Model C.A 1510 & L452 {Gray},0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
2137.77 - AEMC Instruments Adapter - Power Adapter for use with Models PEL 102 & PEL 103,0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
2138.09 - AEMC Instruments Air Quality Logger Model C.A 1510 {White},0 Stnd,FOB Destination,45 Days,France,627-8,C.A 1510,GS-24F-0066M Exp. 10 Sep. 2022
